A,B,C,D,F
1.0,2013-01-02,1.0,3,foo_106
1.0,2013-01-02,1.0,3,foo_107
1.0,2013-01-02,1.0,3,foo_108
1.0,2013-01-02,1.0,3,foo_109
1.0,2013-01-02,1.0,3,foo_110
1.0,2013-01-02,1.0,3,foo_111
1.0,2013-01-02,1.0,3,foo_112
1.0,2013-01-02,1.0,3,foo_113
1.0,2013-01-02,1.0,3,foo_114
1.0,2013-01-02,1.0,3,foo_115
1.0,2013-01-02,1.0,3,foo_116
1.0,2013-01-02,1.0,3,foo_117
1.0,2013-01-02,1.0,3,foo_118
1.0,2013-01-02,1.0,3,foo_119
1.0,2013-01-02,1.0,3,foo_120
1.0,2013-01-02,1.0,3,foo_121
1.0,2013-01-02,1.0,3,foo_122
1.0,2013-01-02,1.0,3,foo_123
1.0,2013-01-02,1.0,3,foo_124
1.0,2013-01-02,1.0,3,foo_125
1.0,2013-01-02,1.0,3,foo_126
1.0,2013-01-02,1.0,3,foo_127
1.0,2013-01-02,1.0,3,foo_128
1.0,2013-01-02,1.0,3,foo_129
1.0,2013-01-02,1.0,3,foo_130
1.0,2013-01-02,1.0,3,foo_131
1.0,2013-01-02,1.0,3,foo_132
1.0,2013-01-02,1.0,3,foo_133
1.0,2013-01-02,1.0,3,foo_134
1.0,2013-01-02,1.0,3,foo_135
1.0,2013-01-02,1.0,3,foo_136
1.0,2013-01-02,1.0,3,foo_137
1.0,2013-01-02,1.0,3,foo_138
1.0,2013-01-02,1.0,3,foo_139
1.0,2013-01-02,1.0,3,foo_140
1.0,2013-01-02,1.0,3,foo_141
1.0,2013-01-02,1.0,3,foo_142
1.0,2013-01-02,1.0,3,foo_143
1.0,2013-01-02,1.0,3,foo_144
1.0,2013-01-02,1.0,3,foo_145
1.0,2013-01-02,1.0,3,foo_146
1.0,2013-01-02,1.0,3,foo_147
1.0,2013-01-02,1.0,3,foo_148
1.0,2013-01-02,1.0,3,foo_149
1.0,2013-01-02,1.0,3,foo_150
1.0,2013-01-02,1.0,3,foo_151
1.0,2013-01-02,1.0,3,foo_152
1.0,2013-01-02,1.0,3,foo_153
1.0,2013-01-02,1.0,3,foo_154
1.0,2013-01-02,1.0,3,foo_155
1.0,2013-01-02,1.0,3,foo_156
1.0,2013-01-02,1.0,3,foo_157
1.0,2013-01-02,1.0,3,foo_158
1.0,2013-01-02,1.0,3,foo_159
1.0,2013-01-02,1.0,3,foo_160
1.0,2013-01-02,1.0,3,foo_161
1.0,2013-01-02,1.0,3,foo_162
1.0,2013-01-02,1.0,3,foo_163
1.0,2013-01-02,1.0,3,foo_164
1.0,2013-01-02,1.0,3,foo_165
1.0,2013-01-02,1.0,3,foo_166
1.0,2013-01-02,1.0,3,foo_167
1.0,2013-01-02,1.0,3,foo_168
1.0,2013-01-02,1.0,3,foo_169
1.0,2013-01-02,1.0,3,foo_170
1.0,2013-01-02,1.0,3,foo_171
1.0,2013-01-02,1.0,3,foo_172
1.0,2013-01-02,1.0,3,foo_173
1.0,2013-01-02,1.0,3,foo_174
1.0,2013-01-02,1.0,3,foo_175
1.0,2013-01-02,1.0,3,foo_176
1.0,2013-01-02,1.0,3,foo_177
1.0,2013-01-02,1.0,3,foo_178
1.0,2013-01-02,1.0,3,foo_179
1.0,2013-01-02,1.0,3,foo_180
1.0,2013-01-02,1.0,3,foo_181
1.0,2013-01-02,1.0,3,foo_182
1.0,2013-01-02,1.0,3,foo_183
1.0,2013-01-02,1.0,3,foo_184
1.0,2013-01-02,1.0,3,foo_185
1.0,2013-01-02,1.0,3,foo_186
1.0,2013-01-02,1.0,3,foo_187
1.0,2013-01-02,1.0,3,foo_188
1.0,2013-01-02,1.0,3,foo_189
1.0,2013-01-02,1.0,3,foo_190
1.0,2013-01-02,1.0,3,foo_191
1.0,2013-01-02,1.0,3,foo_192
1.0,2013-01-02,1.0,3,foo_193
1.0,2013-01-02,1.0,3,foo_194
1.0,2013-01-02,1.0,3,foo_195
1.0,2013-01-02,1.0,3,foo_196
1.0,2013-01-02,1.0,3,foo_197
1.0,2013-01-02,1.0,3,foo_198
1.0,2013-01-02,1.0,3,foo_199
1.0,2013-01-02,1.0,3,foo_200
1.0,2013-01-02,1.0,3,foo_201
1.0,2013-01-02,1.0,3,foo_202
1.0,2013-01-02,1.0,3,foo_203
1.0,2013-01-02,1.0,3,foo_204
1.0,2013-01-02,1.0,3,foo_205
1.0,2013-01-02,1.0,3,foo_206
1.0,2013-01-02,1.0,3,foo_207
1.0,2013-01-02,1.0,3,foo_208
1.0,2013-01-02,1.0,3,foo_209
1.0,2013-01-02,1.0,3,foo_210
1.0,2013-01-02,1.0,3,foo_211
1.0,2013-01-02,1.0,3,foo_212
1.0,2013-01-02,1.0,3,foo_213
1.0,2013-01-02,1.0,3,foo_214
1.0,2013-01-02,1.0,3,foo_215
1.0,2013-01-02,1.0,3,foo_216
1.0,2013-01-02,1.0,3,foo_217
1.0,2013-01-02,1.0,3,foo_218
1.0,2013-01-02,1.0,3,foo_219
1.0,2013-01-02,1.0,3,foo_220
1.0,2013-01-02,1.0,3,foo_221
1.0,2013-01-02,1.0,3,foo_222
1.0,2013-01-02,1.0,3,foo_223
1.0,2013-01-02,1.0,3,foo_224
1.0,2013-01-02,1.0,3,foo_225
1.0,2013-01-02,1.0,3,foo_226
1.0,2013-01-02,1.0,3,foo_227
1.0,2013-01-02,1.0,3,foo_228
1.0,2013-01-02,1.0,3,foo_229
1.0,2013-01-02,1.0,3,foo_230
1.0,2013-01-02,1.0,3,foo_231
1.0,2013-01-02,1.0,3,foo_232
1.0,2013-01-02,1.0,3,foo_233
1.0,2013-01-02,1.0,3,foo_234
1.0,2013-01-02,1.0,3,foo_235
1.0,2013-01-02,1.0,3,foo_236
1.0,2013-01-02,1.0,3,foo_237
1.0,2013-01-02,1.0,3,foo_238
1.0,2013-01-02,1.0,3,foo_239
1.0,2013-01-02,1.0,3,foo_240
1.0,2013-01-02,1.0,3,foo_241
1.0,2013-01-02,1.0,3,foo_242
1.0,2013-01-02,1.0,3,foo_243
1.0,2013-01-02,1.0,3,foo_244
1.0,2013-01-02,1.0,3,foo_245
1.0,2013-01-02,1.0,3,foo_246
1.0,2013-01-02,1.0,3,foo_247
1.0,2013-01-02,1.0,3,foo_248
1.0,2013-01-02,1.0,3,foo_249
1.0,2013-01-02,1.0,3,foo_250
1.0,2013-01-02,1.0,3,foo_251
1.0,2013-01-02,1.0,3,foo_252
1.0,2013-01-02,1.0,3,foo_253
1.0,2013-01-02,1.0,3,foo_254
1.0,2013-01-02,1.0,3,foo_255
1.0,2013-01-02,1.0,3,foo_256
1.0,2013-01-02,1.0,3,foo_257
1.0,2013-01-02,1.0,3,foo_258
1.0,2013-01-02,1.0,3,foo_259
1.0,2013-01-02,1.0,3,foo_260
1.0,2013-01-02,1.0,3,foo_261
1.0,2013-01-02,1.0,3,foo_262
1.0,2013-01-02,1.0,3,foo_263
1.0,2013-01-02,1.0,3,foo_264
1.0,2013-01-02,1.0,3,foo_265
1.0,2013-01-02,1.0,3,foo_266
1.0,2013-01-02,1.0,3,foo_267
1.0,2013-01-02,1.0,3,foo_268
1.0,2013-01-02,1.0,3,foo_269
1.0,2013-01-02,1.0,3,foo_270
1.0,2013-01-02,1.0,3,foo_271
1.0,2013-01-02,1.0,3,foo_272
1.0,2013-01-02,1.0,3,foo_273
1.0,2013-01-02,1.0,3,foo_274
1.0,2013-01-02,1.0,3,foo_275
1.0,2013-01-02,1.0,3,foo_276
1.0,2013-01-02,1.0,3,foo_277
1.0,2013-01-02,1.0,3,foo_278
1.0,2013-01-02,1.0,3,foo_279
1.0,2013-01-02,1.0,3,foo_280
1.0,2013-01-02,1.0,3,foo_281
1.0,2013-01-02,1.0,3,foo_282
1.0,2013-01-02,1.0,3,foo_283
1.0,2013-01-02,1.0,3,foo_284
1.0,2013-01-02,1.0,3,foo_285
1.0,2013-01-02,1.0,3,foo_286
1.0,2013-01-02,1.0,3,foo_287
1.0,2013-01-02,1.0,3,foo_288
1.0,2013-01-02,1.0,3,foo_289
1.0,2013-01-02,1.0,3,foo_290
1.0,2013-01-02,1.0,3,foo_291
1.0,2013-01-02,1.0,3,foo_292
1.0,2013-01-02,1.0,3,foo_293
1.0,2013-01-02,1.0,3,foo_294
1.0,2013-01-02,1.0,3,foo_295
1.0,2013-01-02,1.0,3,foo_296
1.0,2013-01-02,1.0,3,foo_297
1.0,2013-01-02,1.0,3,foo_298
1.0,2013-01-02,1.0,3,foo_299
1.0,2013-01-02,1.0,3,foo_300
1.0,2013-01-02,1.0,3,foo_301
1.0,2013-01-02,1.0,3,foo_302
1.0,2013-01-02,1.0,3,foo_303
1.0,2013-01-02,1.0,3,foo_304
1.0,2013-01-02,1.0,3,foo_305
1.0,2013-01-02,1.0,3,foo_306
1.0,2013-01-02,1.0,3,foo_307
1.0,2013-01-02,1.0,3,foo_308
1.0,2013-01-02,1.0,3,foo_309
1.0,2013-01-02,1.0,3,foo_310
1.0,2013-01-02,1.0,3,foo_311
1.0,2013-01-02,1.0,3,foo_312
1.0,2013-01-02,1.0,3,foo_313
1.0,2013-01-02,1.0,3,foo_314
1.0,2013-01-02,1.0,3,foo_315
1.0,2013-01-02,1.0,3,foo_316
1.0,2013-01-02,1.0,3,foo_317
1.0,2013-01-02,1.0,3,foo_318
1.0,2013-01-02,1.0,3,foo_319
1.0,2013-01-02,1.0,3,foo_320
1.0,2013-01-02,1.0,3,foo_321
1.0,2013-01-02,1.0,3,foo_322
1.0,2013-01-02,1.0,3,foo_323
1.0,2013-01-02,1.0,3,foo_324
1.0,2013-01-02,1.0,3,foo_325
1.0,2013-01-02,1.0,3,foo_326
1.0,2013-01-02,1.0,3,foo_327
1.0,2013-01-02,1.0,3,foo_328
1.0,2013-01-02,1.0,3,foo_329
1.0,2013-01-02,1.0,3,foo_330
1.0,2013-01-02,1.0,3,foo_331
1.0,2013-01-02,1.0,3,foo_332
1.0,2013-01-02,1.0,3,foo_333
1.0,2013-01-02,1.0,3,foo_334
1.0,2013-01-02,1.0,3,foo_335
1.0,2013-01-02,1.0,3,foo_336
1.0,2013-01-02,1.0,3,foo_337
1.0,2013-01-02,1.0,3,foo_338
1.0,2013-01-02,1.0,3,foo_339
1.0,2013-01-02,1.0,3,foo_340
1.0,2013-01-02,1.0,3,foo_341
1.0,2013-01-02,1.0,3,foo_342
1.0,2013-01-02,1.0,3,foo_343
1.0,2013-01-02,1.0,3,foo_344
1.0,2013-01-02,1.0,3,foo_345
1.0,2013-01-02,1.0,3,foo_346
1.0,2013-01-02,1.0,3,foo_347
1.0,2013-01-02,1.0,3,foo_348
1.0,2013-01-02,1.0,3,foo_349
1.0,2013-01-02,1.0,3,foo_350
1.0,2013-01-02,1.0,3,foo_351
1.0,2013-01-02,1.0,3,foo_352
1.0,2013-01-02,1.0,3,foo_353
1.0,2013-01-02,1.0,3,foo_354
1.0,2013-01-02,1.0,3,foo_355
1.0,2013-01-02,1.0,3,foo_356
1.0,2013-01-02,1.0,3,foo_357
1.0,2013-01-02,1.0,3,foo_358
1.0,2013-01-02,1.0,3,foo_359
1.0,2013-01-02,1.0,3,foo_360
1.0,2013-01-02,1.0,3,foo_361
1.0,2013-01-02,1.0,3,foo_362
1.0,2013-01-02,1.0,3,foo_363
1.0,2013-01-02,1.0,3,foo_364
1.0,2013-01-02,1.0,3,foo_365
1.0,2013-01-02,1.0,3,foo_366
1.0,2013-01-02,1.0,3,foo_367
1.0,2013-01-02,1.0,3,foo_368
1.0,2013-01-02,1.0,3,foo_369
1.0,2013-01-02,1.0,3,foo_370
1.0,2013-01-02,1.0,3,foo_371
1.0,2013-01-02,1.0,3,foo_372
1.0,2013-01-02,1.0,3,foo_373
1.0,2013-01-02,1.0,3,foo_374
1.0,2013-01-02,1.0,3,foo_375
1.0,2013-01-02,1.0,3,foo_376
1.0,2013-01-02,1.0,3,foo_377
1.0,2013-01-02,1.0,3,foo_378
1.0,2013-01-02,1.0,3,foo_379
1.0,2013-01-02,1.0,3,foo_380
1.0,2013-01-02,1.0,3,foo_381
1.0,2013-01-02,1.0,3,foo_382
1.0,2013-01-02,1.0,3,foo_383
1.0,2013-01-02,1.0,3,foo_384
1.0,2013-01-02,1.0,3,foo_385
1.0,2013-01-02,1.0,3,foo_386
1.0,2013-01-02,1.0,3,foo_387
1.0,2013-01-02,1.0,3,foo_388
1.0,2013-01-02,1.0,3,foo_389
1.0,2013-01-02,1.0,3,foo_390
1.0,2013-01-02,1.0,3,foo_391
1.0,2013-01-02,1.0,3,foo_392
1.0,2013-01-02,1.0,3,foo_393
1.0,2013-01-02,1.0,3,foo_394
1.0,2013-01-02,1.0,3,foo_395
1.0,2013-01-02,1.0,3,foo_396
1.0,2013-01-02,1.0,3,foo_397
1.0,2013-01-02,1.0,3,foo_398
1.0,2013-01-02,1.0,3,foo_399
1.0,2013-01-02,1.0,3,foo_400
1.0,2013-01-02,1.0,3,foo_401
1.0,2013-01-02,1.0,3,foo_402
1.0,2013-01-02,1.0,3,foo_403
1.0,2013-01-02,1.0,3,foo_404
1.0,2013-01-02,1.0,3,foo_405
1.0,2013-01-02,1.0,3,foo_406
1.0,2013-01-02,1.0,3,foo_407
1.0,2013-01-02,1.0,3,foo_408
1.0,2013-01-02,1.0,3,foo_409
1.0,2013-01-02,1.0,3,foo_410
1.0,2013-01-02,1.0,3,foo_411
1.0,2013-01-02,1.0,3,foo_412
1.0,2013-01-02,1.0,3,foo_413
1.0,2013-01-02,1.0,3,foo_414
1.0,2013-01-02,1.0,3,foo_415
1.0,2013-01-02,1.0,3,foo_416
1.0,2013-01-02,1.0,3,foo_417
1.0,2013-01-02,1.0,3,foo_418
1.0,2013-01-02,1.0,3,foo_419
1.0,2013-01-02,1.0,3,foo_420
1.0,2013-01-02,1.0,3,foo_421
1.0,2013-01-02,1.0,3,foo_422
1.0,2013-01-02,1.0,3,foo_423
1.0,2013-01-02,1.0,3,foo_424
1.0,2013-01-02,1.0,3,foo_425
1.0,2013-01-02,1.0,3,foo_426
1.0,2013-01-02,1.0,3,foo_427
1.0,2013-01-02,1.0,3,foo_428
1.0,2013-01-02,1.0,3,foo_429
1.0,2013-01-02,1.0,3,foo_430
1.0,2013-01-02,1.0,3,foo_431
1.0,2013-01-02,1.0,3,foo_432
1.0,2013-01-02,1.0,3,foo_433
1.0,2013-01-02,1.0,3,foo_434
1.0,2013-01-02,1.0,3,foo_435
1.0,2013-01-02,1.0,3,foo_436
1.0,2013-01-02,1.0,3,foo_437
1.0,2013-01-02,1.0,3,foo_438
1.0,2013-01-02,1.0,3,foo_439
1.0,2013-01-02,1.0,3,foo_440
1.0,2013-01-02,1.0,3,foo_441
1.0,2013-01-02,1.0,3,foo_442
1.0,2013-01-02,1.0,3,foo_443
1.0,2013-01-02,1.0,3,foo_444
1.0,2013-01-02,1.0,3,foo_445
1.0,2013-01-02,1.0,3,foo_446
1.0,2013-01-02,1.0,3,foo_447
1.0,2013-01-02,1.0,3,foo_448
1.0,2013-01-02,1.0,3,foo_449
1.0,2013-01-02,1.0,3,foo_450
1.0,2013-01-02,1.0,3,foo_451
1.0,2013-01-02,1.0,3,foo_452
1.0,2013-01-02,1.0,3,foo_453
1.0,2013-01-02,1.0,3,foo_454
1.0,2013-01-02,1.0,3,foo_455
1.0,2013-01-02,1.0,3,foo_456
1.0,2013-01-02,1.0,3,foo_457
1.0,2013-01-02,1.0,3,foo_458
1.0,2013-01-02,1.0,3,foo_459
1.0,2013-01-02,1.0,3,foo_460
1.0,2013-01-02,1.0,3,foo_461
1.0,2013-01-02,1.0,3,foo_462
1.0,2013-01-02,1.0,3,foo_463
1.0,2013-01-02,1.0,3,foo_464
1.0,2013-01-02,1.0,3,foo_465
1.0,2013-01-02,1.0,3,foo_466
1.0,2013-01-02,1.0,3,foo_467
1.0,2013-01-02,1.0,3,foo_468
1.0,2013-01-02,1.0,3,foo_469
1.0,2013-01-02,1.0,3,foo_470
1.0,2013-01-02,1.0,3,foo_471
1.0,2013-01-02,1.0,3,foo_472
1.0,2013-01-02,1.0,3,foo_473
1.0,2013-01-02,1.0,3,foo_474
1.0,2013-01-02,1.0,3,foo_475
1.0,2013-01-02,1.0,3,foo_476
1.0,2013-01-02,1.0,3,foo_477
1.0,2013-01-02,1.0,3,foo_478
1.0,2013-01-02,1.0,3,foo_479
1.0,2013-01-02,1.0,3,foo_480
1.0,2013-01-02,1.0,3,foo_481
1.0,2013-01-02,1.0,3,foo_482
1.0,2013-01-02,1.0,3,foo_483
1.0,2013-01-02,1.0,3,foo_484
1.0,2013-01-02,1.0,3,foo_485
1.0,2013-01-02,1.0,3,foo_486
1.0,2013-01-02,1.0,3,foo_487
1.0,2013-01-02,1.0,3,foo_488
1.0,2013-01-02,1.0,3,foo_489
1.0,2013-01-02,1.0,3,foo_490
1.0,2013-01-02,1.0,3,foo_491
1.0,2013-01-02,1.0,3,foo_492
1.0,2013-01-02,1.0,3,foo_493
1.0,2013-01-02,1.0,3,foo_494
1.0,2013-01-02,1.0,3,foo_495
1.0,2013-01-02,1.0,3,foo_496
1.0,2013-01-02,1.0,3,foo_497
1.0,2013-01-02,1.0,3,foo_498
1.0,2013-01-02,1.0,3,foo_499
1.0,2013-01-02,1.0,3,foo_500
1.0,2013-01-02,1.0,3,foo_501
1.0,2013-01-02,1.0,3,foo_502
1.0,2013-01-02,1.0,3,foo_503
1.0,2013-01-02,1.0,3,foo_504
1.0,2013-01-02,1.0,3,foo_505
1.0,2013-01-02,1.0,3,foo_506
1.0,2013-01-02,1.0,3,foo_507
1.0,2013-01-02,1.0,3,foo_508
1.0,2013-01-02,1.0,3,foo_509
1.0,2013-01-02,1.0,3,foo_510
1.0,2013-01-02,1.0,3,foo_511
1.0,2013-01-02,1.0,3,foo_512
1.0,2013-01-02,1.0,3,foo_513
1.0,2013-01-02,1.0,3,foo_514
1.0,2013-01-02,1.0,3,foo_515
1.0,2013-01-02,1.0,3,foo_516
1.0,2013-01-02,1.0,3,foo_517
1.0,2013-01-02,1.0,3,foo_518
1.0,2013-01-02,1.0,3,foo_519
1.0,2013-01-02,1.0,3,foo_520
1.0,2013-01-02,1.0,3,foo_521
1.0,2013-01-02,1.0,3,foo_522
1.0,2013-01-02,1.0,3,foo_523
1.0,2013-01-02,1.0,3,foo_524
1.0,2013-01-02,1.0,3,foo_525
1.0,2013-01-02,1.0,3,foo_526
1.0,2013-01-02,1.0,3,foo_527
1.0,2013-01-02,1.0,3,foo_528
1.0,2013-01-02,1.0,3,foo_529
1.0,2013-01-02,1.0,3,foo_530
1.0,2013-01-02,1.0,3,foo_531
1.0,2013-01-02,1.0,3,foo_532
1.0,2013-01-02,1.0,3,foo_533
1.0,2013-01-02,1.0,3,foo_534
1.0,2013-01-02,1.0,3,foo_535
1.0,2013-01-02,1.0,3,foo_536
1.0,2013-01-02,1.0,3,foo_537
1.0,2013-01-02,1.0,3,foo_538
1.0,2013-01-02,1.0,3,foo_539
1.0,2013-01-02,1.0,3,foo_540
1.0,2013-01-02,1.0,3,foo_541
1.0,2013-01-02,1.0,3,foo_542
1.0,2013-01-02,1.0,3,foo_543
1.0,2013-01-02,1.0,3,foo_544
1.0,2013-01-02,1.0,3,foo_545
1.0,2013-01-02,1.0,3,foo_546
1.0,2013-01-02,1.0,3,foo_547
1.0,2013-01-02,1.0,3,foo_548
1.0,2013-01-02,1.0,3,foo_549
1.0,2013-01-02,1.0,3,foo_550
1.0,2013-01-02,1.0,3,foo_551
1.0,2013-01-02,1.0,3,foo_552
1.0,2013-01-02,1.0,3,foo_553
1.0,2013-01-02,1.0,3,foo_554
1.0,2013-01-02,1.0,3,foo_555
1.0,2013-01-02,1.0,3,foo_556
1.0,2013-01-02,1.0,3,foo_557
1.0,2013-01-02,1.0,3,foo_558
1.0,2013-01-02,1.0,3,foo_559
1.0,2013-01-02,1.0,3,foo_560
1.0,2013-01-02,1.0,3,foo_561
1.0,2013-01-02,1.0,3,foo_562
1.0,2013-01-02,1.0,3,foo_563
1.0,2013-01-02,1.0,3,foo_564
1.0,2013-01-02,1.0,3,foo_565
1.0,2013-01-02,1.0,3,foo_566
1.0,2013-01-02,1.0,3,foo_567
1.0,2013-01-02,1.0,3,foo_568
1.0,2013-01-02,1.0,3,foo_569
1.0,2013-01-02,1.0,3,foo_570
1.0,2013-01-02,1.0,3,foo_571
1.0,2013-01-02,1.0,3,foo_572
1.0,2013-01-02,1.0,3,foo_573
1.0,2013-01-02,1.0,3,foo_574
1.0,2013-01-02,1.0,3,foo_575
1.0,2013-01-02,1.0,3,foo_576
1.0,2013-01-02,1.0,3,foo_577
1.0,2013-01-02,1.0,3,foo_578
1.0,2013-01-02,1.0,3,foo_579
1.0,2013-01-02,1.0,3,foo_580
1.0,2013-01-02,1.0,3,foo_581
1.0,2013-01-02,1.0,3,foo_582
1.0,2013-01-02,1.0,3,foo_583
1.0,2013-01-02,1.0,3,foo_584
1.0,2013-01-02,1.0,3,foo_585
1.0,2013-01-02,1.0,3,foo_586
1.0,2013-01-02,1.0,3,foo_587
1.0,2013-01-02,1.0,3,foo_588
1.0,2013-01-02,1.0,3,foo_589
1.0,2013-01-02,1.0,3,foo_590
1.0,2013-01-02,1.0,3,foo_591
1.0,2013-01-02,1.0,3,foo_592
1.0,2013-01-02,1.0,3,foo_593
1.0,2013-01-02,1.0,3,foo_594
1.0,2013-01-02,1.0,3,foo_595
1.0,2013-01-02,1.0,3,foo_596
1.0,2013-01-02,1.0,3,foo_597
1.0,2013-01-02,1.0,3,foo_598
1.0,2013-01-02,1.0,3,foo_599
1.0,2013-01-02,1.0,3,foo_600
1.0,2013-01-02,1.0,3,foo_601
1.0,2013-01-02,1.0,3,foo_602
1.0,2013-01-02,1.0,3,foo_603
1.0,2013-01-02,1.0,3,foo_604
1.0,2013-01-02,1.0,3,foo_605
1.0,2013-01-02,1.0,3,foo_606
1.0,2013-01-02,1.0,3,foo_607
1.0,2013-01-02,1.0,3,foo_608
1.0,2013-01-02,1.0,3,foo_609
1.0,2013-01-02,1.0,3,foo_610
1.0,2013-01-02,1.0,3,foo_611
1.0,2013-01-02,1.0,3,foo_612
1.0,2013-01-02,1.0,3,foo_613
1.0,2013-01-02,1.0,3,foo_614
1.0,2013-01-02,1.0,3,foo_615
1.0,2013-01-02,1.0,3,foo_616
1.0,2013-01-02,1.0,3,foo_617
1.0,2013-01-02,1.0,3,foo_618
1.0,2013-01-02,1.0,3,foo_619
1.0,2013-01-02,1.0,3,foo_620
1.0,2013-01-02,1.0,3,foo_621
1.0,2013-01-02,1.0,3,foo_622
1.0,2013-01-02,1.0,3,foo_623
1.0,2013-01-02,1.0,3,foo_624
1.0,2013-01-02,1.0,3,foo_625
1.0,2013-01-02,1.0,3,foo_626
1.0,2013-01-02,1.0,3,foo_627
1.0,2013-01-02,1.0,3,foo_628
1.0,2013-01-02,1.0,3,foo_629
1.0,2013-01-02,1.0,3,foo_630
1.0,2013-01-02,1.0,3,foo_631
1.0,2013-01-02,1.0,3,foo_632
1.0,2013-01-02,1.0,3,foo_633
1.0,2013-01-02,1.0,3,foo_634
